         525236 function calls (513044 primitive calls) in 6.050 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:383(get_build_platform)
        1    0.000    0.000    0.000    0.000 __init__.py:385(Deprecated)
        1    0.000    0.000    0.000    0.000 __init__.py:39(enabled)
        9    0.000    0.000    0.000    0.000 __init__.py:392(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:398(_FixedOffset)
        9    0.000    0.000    0.000    0.000 __init__.py:399(__getitem__)
        1    0.000    0.000    0.001    0.001 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:405(PyDLL)
        2    0.000    0.000    0.000    0.000 __init__.py:407(SeparatedValues)
        1    0.000    0.000    0.000    0.000 __init__.py:41(NullMarker)
        1    0.000    0.000    0.001    0.001 __init__.py:411(PercentStyle)
       14    0.000    0.000    0.002    0.000 __init__.py:411(flex_arith_method_FRAME)
        1    0.000    0.000    0.000    0.000 __init__.py:414(WinDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:415(dev)
        1    0.000    0.000    0.000    0.000 __init__.py:418(__init__)
      161    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:423(HRESULT)
        1    0.000    0.000    0.000    0.000 __init__.py:424(validate)
        2    0.000    0.000    0.000    0.000 __init__.py:428(Stripper)
        1    0.000    0.000    0.000    0.000 __init__.py:43(__exit__)
        3    0.000    0.000    0.000    0.000 __init__.py:43(private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:436(OleDLL)
        1    0.000    0.000    0.001    0.001 __init__.py:439(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:440(SelectableGroups)
        1    0.000    0.000    0.000    0.000 __init__.py:445(LibraryLoader)
        5    0.000    0.000    0.000    0.000 __init__.py:446(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:449(__getattr__)
        6    0.000    0.000    0.001    0.000 __init__.py:456(flex_comp_method_FRAME)
        1    0.000    0.000    0.000    0.000 __init__.py:46(UnsortedIndexError)
       30    0.000    0.000    0.000    0.000 __init__.py:468(_parse_letter_version)
        1    0.000    0.000    0.000    0.000 __init__.py:469(StringTemplateStyle)
        1    0.000    0.000    0.018    0.018 __init__.py:47(ensure_local_distutils)
        1    0.000    0.000    0.000    0.000 __init__.py:472(get_distribution)
        1    0.000    0.000    0.000    0.000 __init__.py:480(PackagePath)
        1    0.000    0.000    0.000    0.000 __init__.py:496(FileHash)
        1    0.000    0.000    0.000    0.000 __init__.py:498(IMetadataProvider)
        4    0.000    0.000    0.002    0.001 __init__.py:5(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:5(VendorImporter)
        1    0.000    0.000    0.000    0.000 __init__.py:504(Distribution)
