iso3,hazard,climate_scenario,model,year,return_period,percentile,min_depth,mean_depth,max_depth,flooded_area_km2,continent
AUS,inuncoast,rcp8p5,wtsub,2030,rp0250,0,0.0,0.9106400711802707,7.9594626,0.026,Oceania
AUS,inuncoast,rcp8p5,wtsub,2030,rp0500,0,0.0,0.941339094717017,8.099472,0.029,Oceania
AUS,inuncoast,rcp8p5,wtsub,2030,rp1000,0,0.0,0.962454647120992,8.23938,0.031,Oceania
AUS,inuncoast,rcp8p5,wtsub,2050,rp0100,0,0.0,0.9595339988687035,7.95434,0.027,Oceania
AUS,inuncoast,rcp8p5,wtsub,2050,rp0250,0,0.0,0.9942948874502859,8.139763,0.03,Oceania
AUS,inuncoast,rcp8p5,wtsub,2050,rp0500,0,0.0,1.012552218288882,8.279772,0.031,Oceania
AUS,inuncoast,rcp8p5,wtsub,2050,rp1000,0,0.0,1.03259975930023,8.41968,0.033,Oceania
AUS,inuncoast,rcp8p5,wtsub,2080,rp0100,0,0.0,1.0652208971239752,8.35324,0.033,Oceania
AUS,inuncoast,rcp8p5,wtsub,2080,rp0250,0,0.0,1.1063202900446443,8.538663,0.035,Oceania
AUS,inuncoast,rcp8p5,wtsub,2080,rp0500,0,0.0,1.1374849303049788,8.678672,0.037,Oceania
AUS,inuncoast,rcp8p5,wtsub,2080,rp1000,0,0.0,1.180399844046641,8.81858,0.039,Oceania
AUT,inuncoast,historical,wtsub,hist,rp0100,0,-,NA,-,NA,Europe
AUT,inuncoast,historical,wtsub,hist,rp0250,0,-,NA,-,NA,Europe
AUT,inuncoast,historical,wtsub,hist,rp0500,0,-,NA,-,NA,Europe
AUT,inuncoast,historical,wtsub,hist,rp1000,0,-,NA,-,NA,Europe
AUT,inuncoast,rcp4p5,wtsub,2030,rp0100,0,-,NA,-,NA,Europe
AUT,inuncoast,rcp4p5,wtsub,2030,rp0250,0,-,NA,-,NA,Europe
AUT,inuncoast,rcp4p5,wtsub,2030,rp0500,0,-,NA,-,NA,Europe
